day,2019-03-31 00:00:00,2019-03-31 00:00:00,2019-03-31 00:00:00,2019-04-01 00:00:00,2019-04-01 00:00:00,2019-04-01 00:00:00,2019-04-02 00:00:00,2019-04-02 00:00:00,2019-04-02 00:00:00,2019-04-03 00:00:00,2019-04-03 00:00:00,2019-04-03 00:00:00,2019-04-04 00:00:00,2019-04-04 00:00:00,2019-04-04 00:00:00,2019-04-05 00:00:00,2019-04-05 00:00:00,2019-04-05 00:00:00,2019-04-06 00:00:00,2019-04-06 00:00:00,2019-04-06 00:00:00
time,Morning,Evening,Night,Morning,Evening,Night,Morning,Evening,Night,Morning,Evening,Night,Morning,Evening,Night,Morning,Evening,Night,Morning,Evening,Night
shift_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
name,,,,,,,,,,,,,,,,,,,,,
Alexis,1.0,-0.0,-0.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0
Alyssa,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,-0.0,-0.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0
Anthony,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0
Brandon,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,0.0
Brianna,0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caleb,0.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,1.0,-0.0,0.0,1.0,0.0,0.0,1.0,-0.0,1.0,0.0,0.0,1.0,-0.0,0.0
Cameron,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,0.0
Chloe,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,1.0,0.0,0.0
Christopher,0.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,0.0,-0.0,-0.0,1.0
