,Cardnum,n_low,n_high,R,1/R,U,n,t,U*
1178,5142253356,61,5,13.3712,0.074787603,13.3712,66,17,13.37119949
1542,5142299705,25,3,9.133333333,0.109489051,9.133333333,28,4.333333333,9.027976349
725,5142197563,15,134,0.122686567,8.150851582,8.150851582,149,44.66666667,8.150851582
150,5142127276,3,24,0.137,7.299270073,7.299270073,27,4,7.185970079
697,5142194617,5,33,0.166060606,6.02189781,6.02189781,38,7.666666667,6.019547779
1450,5142288241,1,13,0.084307692,11.86131387,11.86131387,14,-0.333333333,5.533836006
1061,5142239140,16,3,5.845333333,0.171076642,5.845333333,19,1.333333333,4.834555482
284,5142144931,6,30,0.2192,4.562043796,4.562043796,36,7,4.558798591
680,5142192606,13,2,7.124,0.140370578,7.124,15,0,4.062
787,5142204384,199,54,4.038962963,0.247588306,4.038962963,253,79.33333333,4.038962963
1419,5142284940,21,6,3.836,0.260688217,3.836,27,4,3.784991109
1641,5142847398,9,36,0.274,3.649635036,3.649635036,45,10,3.649514749
648,5142189113,6,24,0.274,3.649635036,3.649635036,30,5,3.631901424
950,5142225308,4,17,0.257882353,3.877737226,3.877737226,21,2,3.53470254
59,5142116864,58,18,3.531555556,0.283161339,3.531555556,76,20.33333333,3.531555552
1495,5142293257,2,13,0.168615385,5.930656934,5.930656934,15,0,3.465328467
515,5142173286,2,13,0.168615385,5.930656934,5.930656934,15,0,3.465328467
1126,5142246929,79,25,3.46336,0.288736949,3.46336,104,29.66666667,3.46336
942,5142224699,7,25,0.30688,3.258602711,3.258602711,32,5.666666667,3.250816288
1328,5142273608,6,21,0.313142857,3.193430657,3.193430657,27,4,3.153979153
304,5142147267,22,76,0.317263158,3.151957532,3.151957532,98,27.66666667,3.151957532
943,5142224769,15,5,3.288,0.304136253,3.288,20,1.666666667,2.924507488
1084,5142242241,16,51,0.343843137,2.90830292,2.90830292,67,17.33333333,2.908302863
1237,5142260984,265,101,2.875643564,0.347748244,2.875643564,366,117,2.875643564
28,5142113192,2,12,0.182666667,5.474452555,5.474452555,14,-0.333333333,2.867769806
669,5142191416,18,7,2.818285714,0.354825629,2.818285714,25,3.333333333,2.755654507
1619,5142308889,11,2,6.028,0.165892502,6.028,13,-0.666666667,2.705716978
695,5142194228,11,2,6.028,0.165892502,6.028,13,-0.666666667,2.705716978
846,5142212038,12,3,4.384,0.22810219,4.384,15,0,2.692
708,5142195887,12,3,4.384,0.22810219,4.384,15,0,2.692
948,5142225184,27,11,2.690181818,0.371722087,2.690181818,38,7.666666667,2.689390886
1210,5142257356,142,58,2.683310345,0.372674,2.683310345,200,61.66666667,2.683310345
880,5142216493,14,5,3.0688,0.325860271,3.0688,19,1.333333333,2.637230679
1060,5142239106,8,23,0.381217391,2.623175182,2.623175182,31,5.333333333,2.615376227
281,5142144593,4,14,0.313142857,3.193430657,3.193430657,18,1,2.603526298
145,5142126842,38,16,2.603,0.384172109,2.603,54,13,2.602996377
62,5142117315,7,20,0.3836,2.606882169,2.606882169,27,4,2.577980449
896,5142218798,21,9,2.557333333,0.391032325,2.557333333,30,5,2.546910333
574,5142180432,58,25,2.54272,0.393279638,2.54272,83,22.66666667,2.54272
1263,5142264155,27,12,2.466,0.405515004,2.466,39,8,2.465508377
